Method,Name,Error,Occurrences,First Seen,Last Seen
GET,"/api/v1/events (list, KNOWN BROKEN)","gaierror(11001, 'getaddrinfo failed')",76,2026-08-30T13:06:06Z,2026-08-30T13:06:30Z
GET,"/api/v1/events (list, KNOWN BROKEN)","HTTPError('429 Client Error: Too Many Requests for url: /api/v1/events (list, KNOWN BROKEN)')",79,2026-08-30T13:06:29Z,2026-08-30T13:06:47Z
