Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1788095216,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1788095217,10,,Aggregated,0.000000,0.000000,23,24,24,24,26,26,26,26,26,26,26,10,0,23,23.481479998736177,22.134600003482774,26.025599989225157,92.0
1788095218,30,,Aggregated,0.000000,0.000000,47,48,53,54,57,59,59,59,59,59,59,20,0,26,37.831125000229804,22.134600003482774,59.178800001973286,92.0
1788095219,40,,Aggregated,0.000000,0.000000,53,59,82,84,91,94,95,95,95,95,95,30,0,53,54.10800666722935,22.134600003482774,95.15850000025239,92.0
1788095220,50,,Aggregated,10.000000,0.000000,56,80,83,87,95,110,120,120,120,120,120,41,0,56,60.5625829264726,21.7391000041971,119.55589998979121,92.0
1788095221,60,,Aggregated,10.000000,0.000000,50,65,81,84,95,110,120,120,120,120,120,50,0,48,55.93905799963977,21.7391000041971,119.55589998979121,92.0
1788095222,70,,Aggregated,10.000000,0.000000,47,56,80,82,94,110,120,120,120,120,120,60,0,38,51.851586666938,21.7391000041971,119.55589998979121,92.0
1788095223,80,,Aggregated,10.000000,0.000000,39,53,63,80,91,110,120,120,120,120,120,70,0,38,49.92585285758001,21.7391000041971,119.55589998979121,92.0
1788095224,90,,Aggregated,10.000000,0.000000,41,50,59,80,90,110,120,120,120,120,120,75,0,41,49.6379613338892,21.7391000041971,119.55589998979121,92.0
1788095225,100,,Aggregated,10.000000,0.000000,41,51,63,80,95,1000,1000,1300,1300,1300,1300,91,3,41,103.42629011071179,3.2663000019965693,1321.8139999953564,109.51648351648352
