Method,Name,Error,Occurrences,First Seen,Last Seen
GET,"/api/v1/events (list, KNOWN BROKEN)","gaierror(11001, 'getaddrinfo failed')",71,2026-08-30T21:41:23Z,2026-08-30T21:41:41Z
GET,"/api/v1/events (list, KNOWN BROKEN)","HTTPError('429 Client Error: Too Many Requests for url: /api/v1/events (list, KNOWN BROKEN)')",303,2026-08-30T21:41:39Z,2026-08-30T21:42:19Z
