Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/agent/chat (support-agent via agent-gateway),30,0,120,148.7682366661223,48.18440000235569,278.4167000063462,227.93333333333334,0.6767025098858119,0.0,130,190,210,230,250,270,280,280,280,280,280
POST,/api/v1/auth/register,20,0,1400,1416.8420100009826,1157.5248000008287,1550.1883999968413,391.0,0.4511350065905413,0.0,1500,1500,1500,1500,1500,1600,1600,1600,1600,1600,1600
GET,/api/v1/bookings/[id] (status check),41,0,9,12.197912195072758,4.560000001220033,32.72849999484606,158.9268292682927,0.9248267635106096,0.0,9,12,15,16,22,30,33,33,33,33,33
POST,/api/v1/bookings/[id]/confirm,23,0,58,317.3626391318343,33.90419999777805,3102.5731999980053,483.1304347826087,0.5188052575791224,0.0,58,70,72,75,88,3100,3100,3100,3100,3100,3100
POST,/api/v1/bookings/[id]/release,6,0,25,29.716633333009668,16.009699989808723,49.66760000388604,488.0,0.13534050197716238,0.0,33,33,34,34,50,50,50,50,50,50,50
POST,/api/v1/bookings/lock,80,0,12,46.81573750003736,4.821300011826679,259.3876999890199,225.7625,1.8045400263621652,0.0,12,46,80,88,140,160,230,260,260,260,260
GET,"/api/v1/events (list, KNOWN BROKEN)",155,155,30,1171.359754193315,6.815800006734207,3230.6002999976045,46.89032258064516,3.4962963010766948,3.4962963010766948,30,2300,2300,2300,2400,2500,2800,2800,3200,3200,3200
GET,/api/v1/events/[id],155,0,12,24.18902387059549,2.6944000128423795,190.19809999736026,285.458064516129,3.4962963010766948,0.0,12,19,28,31,48,100,130,160,190,190,190
GET,/api/v1/events/[id]/seats,155,0,14,67.79371354881029,2.6991000049747527,276.6122000030009,187794.88387096775,3.4962963010766948,0.0,14,95,120,140,200,230,250,270,280,280,280
,Aggregated,665,155,20,361.415018646626,2.6944000128423795,3230.6002999976045,43929.317293233085,15.000238969135497,3.4962963010766948,20,70,120,180,2300,2300,2400,2700,3200,3200,3200
